id,geopos,apartments,price,year
1341,"{'type': 'Point', 'coordinates': [37.51512, 55.53399]}",176,199474.0,1999
1342,"{'type': 'Point', 'coordinates': [37.517752, 55.535121]}",115,250928.0,1999
1343,"{'type': 'Point', 'coordinates': [37.519988, 55.536583]}",28,184782.0,2001
1344,"{'type': 'Point', 'coordinates': [37.514967, 55.535473]}",75,190024.0,1999
1345,"{'type': 'Point', 'coordinates': [37.512577, 55.53854]}",206,221048.0,2004
1346,"{'type': 'Point', 'coordinates': [37.511436, 55.538794]}",314,287486.0,2004
1347,"{'type': 'Point', 'coordinates': [37.51017, 55.53827]}",141,326777.0,2004
1348,"{'type': 'Point', 'coordinates': [37.511454, 55.537872]}",269,325258.0,2004
1349,"{'type': 'Point', 'coordinates': [37.507834, 55.53666]}",247,257382.0,2011
1350,"{'type': 'Point', 'coordinates': [37.50372, 55.532844]}",173,252727.0,2007
1351,"{'type': 'Point', 'coordinates': [37.502786, 55.532029]}",122,187646.0,2007
1352,"{'type': 'Point', 'coordinates': [37.501609, 55.532126]}",88,201081.0,2006
1353,"{'type': 'Point', 'coordinates': [37.501501, 55.532666]}",63,284167.0,2006
1354,"{'type': 'Point', 'coordinates': [37.50089, 55.531672]}",117,175448.0,2006
1355,"{'type': 'Point', 'coordinates': [37.501708, 55.531173]}",137,186232.0,2006
1356,"{'type': 'Point', 'coordinates': [37.503073, 55.53076]}",156,205472.0,2007
1357,"{'type': 'Point', 'coordinates': [37.503882, 55.531606]}",179,177461.0,2007
1358,"{'type': 'Point', 'coordinates': [37.513431, 55.531178]}",251,185528.0,1998
1359,"{'type': 'Point', 'coordinates': [37.513152, 55.530582]}",117,247438.0,1998
1360,"{'type': 'Point', 'coordinates': [37.512532, 55.529675]}",104,219750.0,1998
1361,"{'type': 'Point', 'coordinates': [37.515838, 55.530225]}",190,305330.0,1998
1362,"{'type': 'Point', 'coordinates': [37.515057, 55.531433]}",169,275368.0,1998
1363,"{'type': 'Point', 'coordinates': [37.517761, 55.529456]}",204,223143.0,1998
1364,"{'type': 'Point', 'coordinates': [37.516656, 55.528228]}",63,219992.0,1998
1365,"{'type': 'Point', 'coordinates': [37.516341, 55.52886]}",63,229336.0,1998
1366,"{'type': 'Point', 'coordinates': [37.514033, 55.528212]}",86,275044.0,1998
1367,"{'type': 'Point', 'coordinates': [37.514077, 55.527581]}",62,206562.0,1998
1368,"{'type': 'Point', 'coordinates': [37.515587, 55.527825]}",55,272322.0,1998
1369,"{'type': 'Point', 'coordinates': [37.515524, 55.527219]}",37,240035.0,1998
1370,"{'type': 'Point', 'coordinates': [37.512523, 55.528075]}",38,245799.0,1998
1371,"{'type': 'Point', 'coordinates': [37.511975, 55.528783]}",79,230847.0,1998
1372,"{'type': 'Point', 'coordinates': [37.500728, 55.533119]}",119,218210.0,2006
1373,"{'type': 'Point', 'coordinates': [37.501456, 55.533547]}",91,291346.0,2006
1374,"{'type': 'Point', 'coordinates': [37.50301, 55.53454]}",127,263927.0,2007
1375,"{'type': 'Point', 'coordinates': [37.502274, 55.535554]}",151,183773.0,2007
1376,"{'type': 'Point', 'coordinates': [37.500953, 55.534658]}",222,266678.0,2006
1377,"{'type': 'Point', 'coordinates': [37.586329, 55.575017]}",67,260082.0,1992
1378,"{'type': 'Point', 'coordinates': [37.587847, 55.574803]}",696,317423.0,1992
1379,"{'type': 'Point', 'coordinates': [37.590623, 55.573317]}",81,298559.0,1992
1380,"{'type': 'Point', 'coordinates': [37.590353, 55.57404]}",135,237729.0,1992
1381,"{'type': 'Point', 'coordinates': [37.590048, 55.572843]}",39,182251.0,1995
1382,"{'type': 'Point', 'coordinates': [37.591458, 55.572365]}",244,217117.0,1992
1383,"{'type': 'Point', 'coordinates': [37.583661, 55.574111]}",115,265942.0,1992
1384,"{'type': 'Point', 'coordinates': [37.582044, 55.573897]}",133,278735.0,1991
1385,"{'type': 'Point', 'coordinates': [37.584182, 55.573515]}",46,221221.0,1995
1386,"{'type': 'Point', 'coordinates': [37.581262, 55.573368]}",177,200766.0,1991
1387,"{'type': 'Point', 'coordinates': [37.580104, 55.574874]}",129,305896.0,1994
1388,"{'type': 'Point', 'coordinates': [37.580238, 55.576203]}",200,332041.0,1992
1389,"{'type': 'Point', 'coordinates': [37.581532, 55.575887]}",206,260886.0,1992
1390,"{'type': 'Point', 'coordinates': [37.583239, 55.575409]}",139,205922.0,1992
1391,"{'type': 'Point', 'coordinates': [37.58482, 55.575862]}",253,224064.0,1992
1392,"{'type': 'Point', 'coordinates': [37.58261, 55.576447]}",155,182021.0,1992
1393,"{'type': 'Point', 'coordinates': [37.581846, 55.576274]}",202,322065.0,1992
1394,"{'type': 'Point', 'coordinates': [37.580616, 55.57664]}",158,198725.0,1992
1395,"{'type': 'Point', 'coordinates': [37.580346, 55.577068]}",211,268597.0,1992
1396,"{'type': 'Point', 'coordinates': [37.576834, 55.577795]}",94,219130.0,1992
1397,"{'type': 'Point', 'coordinates': [37.575558, 55.576991]}",320,261474.0,1991
1398,"{'type': 'Point', 'coordinates': [37.577849, 55.576915]}",439,274369.0,1991
1399,"{'type': 'Point', 'coordinates': [37.577499, 55.575643]}",306,299890.0,1992
1400,"{'type': 'Point', 'coordinates': [37.571147, 55.576783]}",233,205854.0,1991
1401,"{'type': 'Point', 'coordinates': [37.573375, 55.576803]}",96,180599.0,1995
1402,"{'type': 'Point', 'coordinates': [37.57395, 55.57747]}",336,197239.0,1992
1403,"{'type': 'Point', 'coordinates': [37.57395, 55.578452]}",217,315003.0,1992
1404,"{'type': 'Point', 'coordinates': [37.57263, 55.578503]}",115,309207.0,1992
1405,"{'type': 'Point', 'coordinates': [37.572001, 55.577856]}",235,264472.0,1992
1406,"{'type': 'Point', 'coordinates': [37.569027, 55.577175]}",69,255902.0,1991
1407,"{'type': 'Point', 'coordinates': [37.571282, 55.575775]}",38,284483.0,1995
1408,"{'type': 'Point', 'coordinates': [37.570222, 55.576004]}",309,194337.0,1991
1409,"{'type': 'Point', 'coordinates': [37.567428, 55.573688]}",189,307529.0,1990
1410,"{'type': 'Point', 'coordinates': [37.566126, 55.572894]}",288,236328.0,1991
